775524;78025;Aaltje, de volmaakte en zuinige keukenmeid : leerende het braaden, kooken, stooven, inleggen, confyten, droogen, enz., van alle spyzen, die 'er in eene burgerkeuken worden toebereid, op de zuinigste, gemaklykste en smaaklykste wyze;1803;Amsterdam;by J.B. Elwe en J.L. Werlingshoff, voor rekening van de schryfster;
725419;85247;A few days in Belgium and Holland : an idle book for an idle hour / by [Lady] Lees;1800;London;Stanford;
725279;85107;"A geographical, historical and political description of the empire of Germany, Holland, the Netherlands, Switzerland, Prussia, Italy, Sicily, Corsica and Sardinia; with a gazetteer of reference to the principal places in those countries / comp. and transl. from the German";1800;London;John Stockdale;390 pagina's
11382660;134077;Aan den heer  Mr. David Jacob van Lennep ter gelegenheid van zyn huwelyk met myne behuwd-dochter, jongkvrouwe Cornelia Christina van Orsoy, [30-09-1800];1800;;;
25140883;144593;"Aan het publiek in den Amsteldamschen Schouwburg, na het vertoonen van den Abt de l'�p�e, ten voordeele der weduwe van den acteur J.A. Roos, onverwacht overleden, den 20sten van October 1800 / [door Z. ; uitgesproken door de eerste actrice, J.C. Wattier]";1800;Amsterdam;by Abraham Mars;
806103;77948;"Aantekeningen betreffende de redenrykkameren in de Nederlanden : zoo omtrent derzelver beginselen, vaststelling, voorrechten, uitnodigingen, intreden, behaalde prysen, als anders; met de afbeeldingen van sommige intreden, en andere merkwaardigheden; alsmede der blasoenen voor zoo ver mooglyk te beko";1800;S.l.;s.n.;272 pagina's
775715;8831;Addres aan 't vertegenwoordigend lighaam des Bataafschen volks op den 27 January 1800 gepraesenteerd;1800;Amsterdam;Joachim van Embden & Son;
724938;84892;Amsterdam and its environs;1800;Amsterdam;Allert de Lange;64 pagina's
724931;84884;Amsterdam in beeld;1800;Amsterdam;"Stoomdrukkerij ""De Fakkel";
745635;104258;Behangselpapier genre libre �sth�tique / [door C.B. Schneider];1800;S.l.;s.n.;
667302;65471;"Beknopte staatsbeschryving der Bataafsche Republiek; inzonderheid met betrekking tot derzelver bevolking en verdeeling in departementen en ringen; en in districten, naar aanleiding der staatsregeling, volkstelling, en van onderscheidene publicati�n dienaangaande / door Cornelis C�vens";1800;Amsterdam;Mortier Covens en zoon;
729396;89235;Belangryke vragen en antwoorden ter overweging en verlichting aan het volk van Neerland voorgesteld door een opregt beminnaar van zyn vaderland en voorstaander van godsdienst en waare vryheid;1800;S.l.;s.n.;65 pagina's
35263940;154591;Bericht aan hunne mede-intekenaren ter daarstelling eener oeconomische of Rumfordsche soep kookery, binnen deze stad : en voords, aan alle hunne liefdadige medeburgeren, die verder genegen mochte zyn, om tot deze inrichting door hunne intekening te helpen bydraagen / van H. ten Broeke, ... [et al.];1800;Amsterdam;;
724766;84719;Bouw-fantasi�n door den oude van den Binnen-Amstel;1800;S.l.;s.n.;
734845;94166;Catalogue du cabinet de tableaux, delaiss�s par l'amateur des beaux arts Jean Gildemeester F. de J.;1800;Amsterdam;Warnars etc.;126 pagina's
736181;95747;Catalogus der teekeningen, prenten, schilderyen, miniatuuren, emailles, beeldwerken ... van Cornelis Ploos van Amstel, Jac. Cornsz ... / Cornelis Ploos van Amstel;1800;Amsterdam;by de Wed. J. D�ll en Zoonen, H. Diederiks en J. Yver;2 delen
734846;94167;Catalogus van een uitmuntend kabinet gekleurde en ongekleurde teekeningen, benevens een keurlyke verzameling prent-kunst, ... / byeen vergaderd en nagelaten door Jan Gildemeester, Jansz. ..;1800;Amsterdam;by G. Warnars, Wed. J. D�ll [etc.];
734844;94164;Catalogus van het kabinet van schilderyen, nagelaaten door den kunstminnaar Jan Gildemeester Jansz. ...;1800;Amsterdam;Amsterdam: s.n.;
770658;3454;De arbeid en de arbeiders / door I. Coronel;1800;S.l.;s.n.;
758424;111671;De bij-lichter, zijnde eene uitgewerkte verhandeling over de influenza, dat is: publieke verkoudheid : (Om te dienen tot een ophelderend aanhangzel voor De lantaarn van 1800, door denzelven auteur.) / P. van Woensel, ..;1800;Amsterdam;In `t Nieuwe Licht;
668236;46543;De geschiedenis van het Vrijland in de Beemster / [door J. Bouman];1800;Purmerende;L.G. Post;18 pagina's
